n,n(n-1)/2,n*n,comparisons,swaps
1,0,1,0,0
2,1,4,0,0
3,3,9,0,0
4,6,16,5,3
5,10,25,7,3
6,15,36,12,4
7,21,49,11,7
8,28,64,25,17
9,36,81,35,21
10,45,100,45,30
11,55,121,55,45
12,66,144,66,49
13,78,169,63,36
14,91,196,85,37
15,105,225,84,46
16,120,256,114,73
17,136,289,91,46
18,153,324,153,88
19,171,361,170,82
20,190,400,190,107
21,210,441,200,86
22,231,484,216,115
23,253,529,238,118
24,276,576,255,130
25,300,625,299,146
26,325,676,297,180
27,351,729,315,160
28,378,784,363,204
29,406,841,378,200
30,435,900,420,223
31,465,961,464,213
32,496,1024,468,236
33,528,1089,507,245
34,561,1156,561,331
35,595,1225,585,291
36,630,1296,552,248
37,666,1369,611,303
38,703,1444,658,384
39,741,1521,726,428
40,780,1600,765,346
41,820,1681,775,442
42,861,1764,846,379
43,903,1849,867,395
44,946,1936,931,574
45,990,2025,962,488
46,1035,2116,1032,499
47,1081,2209,1003,554
48,1128,2304,1062,450
49,1176,2401,1155,663
50,1225,2500,1170,573
51,1275,2601,1274,731
52,1326,2704,1290,662
53,1378,2809,1350,624
54,1431,2916,1416,824
55,1485,3025,1457,690
56,1540,3136,1512,707
57,1596,3249,1505,798
58,1653,3364,1638,835
59,1711,3481,1696,910
60,1770,3600,1665,878
61,1830,3721,1775,866
62,1891,3844,1836,879
63,1953,3969,1950,1095
64,2016,4096,1925,1138
65,2080,4225,2002,893
66,2145,4356,2139,1142
67,2211,4489,2175,994
68,2278,4624,2277,1243
69,2346,4761,2255,1286
70,2415,4900,2349,1127
71,2485,5041,2365,1265
72,2556,5184,2535,1330
73,2628,5329,2537,1322
74,2701,5476,2673,1434
75,2775,5625,2739,1392
76,2850,5776,2679,1330
77,2926,5929,2806,1626
78,3003,6084,2975,1284
79,3081,6241,3026,1458
80,3160,6400,3159,1523
81,3240,6561,2940,1536
82,3321,6724,3266,1640
83,3403,6889,3337,1680
84,3486,7056,3441,1927
85,3570,7225,3560,1805
86,3655,7396,3564,1790
87,3741,7569,3696,1711
88,3828,7744,3638,1796
89,3916,7921,3838,1755
90,4005,8100,3939,2112
91,4095,8281,3905,1735
92,4186,8464,4120,1960
93,4278,8649,4125,2073
94,4371,8836,4361,2305
95,4465,9025,4444,2302
96,4560,9216,4424,2363
97,4656,9409,4425,2282
98,4753,9604,4725,2468
99,4851,9801,4773,2201
100,4950,10000,4944,2648
101,5050,10201,5040,2815
102,5151,10404,5130,2539
103,5253,10609,5243,2701
104,5356,10816,5346,2617
105,5460,11025,5445,2854
106,5565,11236,5355,3068
107,5671,11449,5580,2770
108,5778,11664,5625,2912
109,5886,11881,5850,3215
110,5995,12100,5695,2813
111,6105,12321,6014,2870
112,6216,12544,6111,3045
113,6328,12769,6028,3335
114,6441,12996,6321,3365
115,6555,13225,6510,3202
116,6670,13456,6664,3163
117,6786,13689,6765,3418
118,6903,13924,6867,3336
119,7021,14161,7015,3738
120,7140,14400,7119,3393
121,7260,14641,7254,3747
122,7381,14884,7378,3340
123,7503,15129,7448,3524
124,7626,15376,7506,3703
125,7750,15625,7695,3952
126,7875,15876,7784,4003
127,8001,16129,7998,3737
128,8128,16384,8050,4087
129,8256,16641,8211,4174
130,8385,16900,8280,4152
131,8515,17161,8500,4276
132,8646,17424,8393,4498
133,8778,17689,8763,4159
134,8911,17956,8896,4666
135,9045,18225,8990,4487
136,9180,18496,8774,4330
137,9316,18769,9196,4714
138,9453,19044,9128,4471
139,9591,19321,9266,4552
140,9730,19600,9715,4443
141,9870,19881,9734,5000
142,10011,20164,9975,4850
143,10153,20449,10132,5663
144,10296,20736,10281,4998
145,10440,21025,10412,5499
146,10585,21316,10150,4630
147,10731,21609,10725,5493
148,10878,21904,10688,5307
149,11026,22201,11005,5859
150,11175,22500,11022,5964
151,11325,22801,11270,4844
152,11476,23104,11421,5297
153,11628,23409,11375,6274
154,11781,23716,11690,5872
155,11935,24025,11907,6042
156,12090,24336,12012,6290
157,12246,24649,12236,6173
158,12403,24964,12348,6361
159,12561,25281,12533,6448
160,12720,25600,12549,6055
161,12880,25921,12670,6582
162,13041,26244,12963,6519
163,13203,26569,13188,6540
164,13366,26896,13360,7248
165,13530,27225,13520,7055
166,13695,27556,13575,6940
167,13861,27889,13846,7431
168,14028,28224,14018,7101
169,14196,28561,14168,7182
170,14365,28900,14040,6847
171,14535,29241,14457,7923
172,14706,29584,14601,7134
173,14878,29929,14857,7482
174,15051,30276,15015,7501
175,15225,30625,14760,7516
176,15400,30976,15295,7306
177,15576,31329,15345,7972
178,15753,31684,15522,7916
179,15931,32041,15910,7734
180,16110,32400,15857,8534
181,16290,32761,16170,8351
182,16471,33124,16261,8992
183,16653,33489,16443,8693
184,16836,33856,15660,8260
185,17020,34225,16669,7835
186,17205,34596,17052,8390
187,17391,34969,17300,8494
188,17578,35344,17172,8248
189,17766,35721,17205,7809
190,17955,36100,17952,8490
191,18145,36481,18067,8486
192,18336,36864,18300,8920
193,18528,37249,18408,9170
194,18721,37636,18511,9444
195,18915,38025,18887,9453
196,19110,38416,19074,9767
197,19306,38809,19186,9449
198,19503,39204,19313,9214
199,19701,39601,19610,9467
200,19900,40000,19879,9360
201,20100,40401,19947,9414
202,20301,40804,20235,10371
203,20503,41209,20482,10203
204,20706,41616,20496,11378
205,20910,42025,20700,10915
206,21115,42436,21079,10636
207,21321,42849,21285,10261
208,21528,43264,21492,11003
209,21736,43681,21616,10173
210,21945,44100,21879,11638
211,22155,44521,21945,11772
212,22366,44944,22015,11053
213,22578,45369,22563,12091
214,22791,45796,22700,10434
215,23005,46225,22939,12337
216,23220,46656,23129,11204
217,23436,47089,23345,11953
218,23653,47524,23517,11024
219,23871,47961,23618,11428
220,24090,48400,23970,12721
221,24310,48841,23569,11740
222,24531,49284,24411,11320
223,24753,49729,24563,12156
224,24976,50176,24976,12005
225,25200,50625,24875,12233
226,25425,51076,25149,12498
227,25651,51529,25585,13191
228,25878,51984,25863,12991
229,26106,52441,26028,13618
230,26335,52900,25594,12593
231,26565,53361,26550,13768
232,26796,53824,26520,13076
233,27028,54289,26818,13449
234,27261,54756,27051,14074
235,27495,55225,27195,13604
236,27730,55696,27625,13222
237,27966,56169,27735,14360
238,28203,56644,28158,13454
239,28441,57121,28396,14158
240,28680,57600,28380,14766
241,28920,58081,28667,14737
242,29161,58564,28971,14505
243,29403,59049,29103,15237
244,29646,59536,29610,14305
245,29890,60025,29637,13555
246,30135,60516,30120,14571
247,30381,61009,29946,15092
248,30628,61504,30550,15624
249,30876,62001,30723,15948
250,31125,62500,30935,15105
251,31375,63001,31354,16127
252,31626,63504,31350,16366
253,31878,64009,31800,15750
254,32131,64516,31960,16213
255,32385,65025,32330,16190
256,32640,65536,32619,16451
257,32896,66049,32230,16541
258,33153,66564,33132,16623
259,33411,67081,33033,16639
260,33670,67600,33205,17229
261,33930,68121,33465,14513
262,34191,68644,33915,16688
263,34453,69169,34300,17436
264,34716,69696,34463,17259
265,34980,70225,34680,18241
266,35245,70756,34780,17387
267,35511,71289,35186,18204
268,35778,71824,35742,17336
269,36046,72361,35640,17547
270,36315,72900,36105,16883
271,36585,73441,36530,17367
272,36856,73984,35953,19175
273,37128,74529,36722,17817
274,37401,75076,37335,18767
275,37675,75625,37422,19570
276,37950,76176,37320,19649
277,38226,76729,37665,18917
278,38503,77284,38068,19127
279,38781,77841,38628,19457
280,39060,78400,38807,19582
281,39340,78961,39249,19930
282,39621,79524,39501,19624
283,39903,80089,39875,19559
284,40186,80656,40165,20756
285,40470,81225,40005,20228
286,40755,81796,40664,20333
287,41041,82369,40765,19213
288,41328,82944,40800,21263
289,41616,83521,41561,21793
290,41905,84100,41869,20572
291,42195,84681,41730,21390
292,42486,85264,42350,21905
293,42778,85849,42607,21003
294,43071,86436,42665,20951
295,43365,87025,43229,23373
296,43660,87616,43569,23033
297,43956,88209,43605,20946
298,44253,88804,44208,21860
299,44551,89401,44523,23218
300,44850,90000,44415,22106
301,45150,90601,45095,24360
302,45451,91204,45073,22214
303,45753,91809,45662,22712
304,46056,92416,45756,21117
305,46360,93025,46324,21945
306,46665,93636,46104,23282
307,46971,94249,46800,23299
308,47278,94864,47250,25564
309,47586,95481,47261,23040
310,47895,96100,47489,22814
311,48205,96721,48177,23366
312,48516,97344,48495,26231
313,48828,97969,48528,24986
314,49141,98596,49063,24938
315,49455,99225,49454,25466
316,49770,99856,49580,25502
317,50086,100489,49950,24091
318,50403,101124,50298,25469
319,50721,101761,50655,26340
320,51040,102400,50974,24919
321,51360,103041,51207,25316
322,51681,103684,51645,26318
323,52003,104329,51703,27094
324,52326,104976,52235,25796
325,52650,105625,52374,26143
326,52975,106276,52479,27541
327,53301,106929,53148,26474
328,53628,107584,53328,25395
329,53956,108241,53865,26398
330,54285,108900,54075,27501
331,54615,109561,54479,27219
332,54946,110224,54855,28690
333,55278,110889,53793,26899
334,55611,111556,55491,25760
335,55945,112225,55774,27471
336,56280,112896,55902,27990
337,56616,113569,56088,27157
338,56953,114244,56518,28034
339,57291,114921,57101,30245
340,57630,115600,57224,30162
341,57970,116281,57024,28627
342,58311,116964,58206,29526
343,58653,117649,58188,30666
344,58996,118336,58435,29565
345,59340,119025,59015,29701
346,59685,119716,59549,29732
347,60031,120409,59860,30351
348,60378,121104,60312,30780
349,60726,121801,60291,31672
350,61075,122500,60750,29842
351,61425,123201,61125,32168
352,61776,123904,61341,30949
353,62128,124609,61348,30754
354,62481,125316,62130,31094
355,62835,126025,62339,30667
356,63190,126736,63000,31678
357,63546,127449,63426,32486
358,63903,128164,63123,32445
359,64261,128881,64008,31461
360,64620,129600,64025,30399
361,64980,130321,64749,33352
362,65341,131044,65131,34364
363,65703,131769,65472,33127
364,66066,132496,65856,33074
365,66430,133225,66277,32771
366,66795,133956,66717,36027
367,67161,134689,66171,31733
368,67528,135424,67437,32596
369,67896,136161,67791,34625
370,68265,136900,68250,33057
371,68635,137641,67855,33705
372,69006,138384,68978,34959
373,69378,139129,68748,34027
374,69751,139876,69715,35025
375,70125,140625,69660,36008
376,70500,141376,70149,33561
377,70876,142129,70380,35393
378,71253,142884,71162,36264
379,71631,143641,71553,36993
380,72010,144400,71604,35031
381,72390,145161,72270,37688
382,72771,145924,72581,33893
383,73153,146689,73075,37973
384,73536,147456,72455,36486
385,73920,148225,73829,36152
386,74305,148996,73177,38219
387,74691,149769,74226,39696
388,75078,150544,74672,38016
389,75466,151321,75235,38151
390,75855,152100,75579,38055
391,76245,152881,76074,38147
392,76636,153664,76621,38545
393,77028,154449,76728,38881
394,77421,155236,77070,36848
395,77815,156025,77350,37908
396,78210,156816,78155,40111
397,78606,157609,77660,39938
398,79003,158404,78948,38475
399,79401,159201,78966,40719
400,79800,160000,79134,37384
401,80200,160801,79534,40197
402,80601,161604,80580,39244
403,81003,162409,80793,41584
404,81406,163216,81216,41933
405,81810,164025,81774,40418
406,82215,164836,81962,40567
407,82621,165649,82576,42872
408,83028,166464,82923,42014
409,83436,167281,82971,42586
410,83845,168100,83830,43158
411,84255,168921,84240,45130
412,84666,169744,83490,43456
413,85078,170569,84582,43490
414,85491,171396,85355,43797
415,85905,172225,85629,42154
416,86320,173056,86167,42858
417,86736,173889,86330,43356
418,87153,174724,87000,45881
419,87571,175561,87136,46092
420,87990,176400,87759,43764
421,88410,177241,87882,43539
422,88831,178084,88753,43649
423,89253,178929,89000,45991
424,89676,179776,89571,45089
425,90100,180625,89470,43587
426,90525,181476,90174,45992
427,90951,182329,90923,44017
428,91378,183184,91323,47174
429,91806,184041,91530,43729
430,92235,184900,92169,44964
431,92665,185761,92574,46629
432,93096,186624,93075,46328
433,93528,187489,93513,49961
434,93961,188356,93960,46728
435,94395,189225,94044,47541
436,94830,190096,93795,46532
437,95266,190969,95221,50406
438,95703,191844,95037,45422
439,96141,192721,95238,52527
440,96580,193600,96460,49496
441,97020,194481,96942,47638
442,97461,195364,97055,46935
443,97903,196249,97468,48194
444,98346,197136,98325,48774
445,98790,198025,98439,47474
446,99235,198916,99045,47280
447,99681,199809,98901,51227
448,100128,200704,100107,51429
449,100576,201601,100440,47585
450,101025,202500,100395,48739
451,101475,203401,101285,52625
452,101926,204304,101848,49468
453,102378,205209,102078,47822
454,102831,206116,102270,51235
455,103285,207025,101515,53435
456,103740,207936,102612,52551
457,104196,208849,104025,52710
458,104653,209764,104328,52725
459,105111,210681,104250,55394
460,105570,211600,105164,51887
461,106030,212521,104805,52243
462,106491,213444,106191,50482
463,106953,214369,105777,50632
464,107416,215296,107350,52557
465,107880,216225,107775,55208
466,108345,217156,107679,53630
467,108811,218089,108601,52920
468,109278,219024,108053,54999
469,109746,219961,109368,54707
470,110215,220900,110149,56850
471,110685,221841,110549,56340
472,111156,222784,110561,56018
473,111628,223729,111277,55188
474,112101,224676,111750,56005
475,112575,225625,112565,57917
476,113050,226576,112230,57867
477,113526,227529,113316,53521
478,114003,228484,113813,55776
479,114481,229441,114345,57760
480,114960,230400,114869,54941
481,115440,231361,115230,59028
482,115921,232324,115785,61077
483,116403,233289,115227,58008
484,116886,234256,116676,58205
485,117370,235225,115939,58189
486,117855,236196,117359,59150
487,118341,237169,118236,59555
488,118828,238144,118800,60888
489,119316,239121,118575,61341
490,119805,240100,119669,57439
491,120295,241081,120042,61177
492,120786,242064,120666,61425
493,121278,243049,121257,60639
494,121771,244036,121680,58814
495,122265,245025,121800,60274
496,122760,246016,122694,59143
497,123256,247009,123003,61274
498,123753,248004,122268,60065
499,124251,249001,124160,62908
500,124750,250000,124254,60052
501,125250,251001,124785,64897
502,125751,252004,124476,63538
503,126253,253009,125433,63309
504,126756,254016,125936,60273
505,127260,255025,126795,63750
506,127765,256036,127330,63821
