n,(n * (n - 1)) / 2,n * n,comparison,swaps
1,0,1,0,0
2,1,4,2,1
3,3,9,4,2
4,6,16,6,3
5,10,25,7,3
6,15,36,9,4
7,21,49,13,7
8,28,64,24,17
9,36,81,29,21
10,45,100,39,30
11,55,121,55,45
12,66,144,60,49
13,78,169,48,36
14,91,196,50,37
15,105,225,60,46
16,120,256,88,73
17,136,289,62,46
18,153,324,105,88
19,171,361,100,82
20,190,400,126,107
21,210,441,106,86
22,231,484,136,115
23,253,529,140,118
24,276,576,153,130
25,300,625,170,146
26,325,676,205,180
27,351,729,186,160
28,378,784,231,204
29,406,841,228,200
30,435,900,252,223
31,465,961,243,213
32,496,1024,267,236
33,528,1089,277,245
34,561,1156,364,331
35,595,1225,325,291
36,630,1296,283,248
37,666,1369,339,303
38,703,1444,421,384
39,741,1521,466,428
40,780,1600,385,346
41,820,1681,482,442
42,861,1764,420,379
43,903,1849,437,395
44,946,1936,617,574
45,990,2025,532,488
46,1035,2116,544,499
47,1081,2209,600,554
48,1128,2304,497,450
49,1176,2401,711,663
50,1225,2500,622,573
51,1275,2601,781,731
52,1326,2704,713,662
53,1378,2809,676,624
54,1431,2916,877,824
55,1485,3025,744,690
56,1540,3136,762,707
57,1596,3249,854,798
58,1653,3364,892,835
59,1711,3481,968,910
60,1770,3600,937,878
61,1830,3721,926,866
62,1891,3844,940,879
63,1953,3969,1157,1095
64,2016,4096,1201,1138
65,2080,4225,957,893
66,2145,4356,1207,1142
67,2211,4489,1060,994
68,2278,4624,1310,1243
69,2346,4761,1354,1286
70,2415,4900,1196,1127
71,2485,5041,1335,1265
72,2556,5184,1401,1330
73,2628,5329,1394,1322
74,2701,5476,1507,1434
75,2775,5625,1466,1392
76,2850,5776,1405,1330
77,2926,5929,1702,1626
78,3003,6084,1361,1284
79,3081,6241,1536,1458
80,3160,6400,1602,1523
81,3240,6561,1616,1536
82,3321,6724,1721,1640
83,3403,6889,1762,1680
84,3486,7056,2010,1927
85,3570,7225,1889,1805
86,3655,7396,1875,1790
87,3741,7569,1797,1711
88,3828,7744,1883,1796
89,3916,7921,1843,1755
90,4005,8100,2201,2112
91,4095,8281,1825,1735
92,4186,8464,2051,1960
93,4278,8649,2165,2073
94,4371,8836,2398,2305
95,4465,9025,2396,2302
96,4560,9216,2458,2363
97,4656,9409,2378,2282
98,4753,9604,2565,2468
99,4851,9801,2299,2201
100,4950,10000,2747,2648
101,5050,10201,2915,2815
102,5151,10404,2640,2539
103,5253,10609,2803,2701
104,5356,10816,2720,2617
105,5460,11025,2958,2854
106,5565,11236,3173,3068
107,5671,11449,2876,2770
108,5778,11664,3019,2912
109,5886,11881,3323,3215
110,5995,12100,2922,2813
111,6105,12321,2980,2870
112,6216,12544,3156,3045
113,6328,12769,3447,3335
114,6441,12996,3478,3365
115,6555,13225,3316,3202
