n,(n * (n - 1)) / 2,n * n,comparison,swaps
1,0,1,0,0
2,1,4,0,0
3,3,9,0,0
4,6,16,3,1
5,10,25,6,3
6,15,36,3,1
7,21,49,11,7
8,28,64,23,17
9,36,81,26,19
10,45,100,29,21
11,55,121,44,35
12,66,144,48,38
13,78,169,43,32
14,91,196,40,29
15,105,225,54,41
16,120,256,77,63
17,136,289,56,41
18,153,324,87,71
19,171,361,82,65
20,190,400,106,88
21,210,441,95,77
22,231,484,122,102
23,253,529,122,101
24,276,576,148,126
25,300,625,146,123
26,325,676,204,180
27,351,729,182,157
28,378,784,211,185
29,406,841,206,179
30,435,900,227,199
31,465,961,226,197
32,496,1024,242,212
33,528,1089,271,240
34,561,1156,330,298
35,595,1225,320,287
36,630,1296,270,236
37,666,1369,330,295
38,703,1444,399,363
39,741,1521,435,398
40,780,1600,350,312
41,820,1681,460,421
42,861,1764,383,343
43,903,1849,430,389
44,946,1936,578,536
45,990,2025,494,451
46,1035,2116,500,456
47,1081,2209,586,541
48,1128,2304,482,436
49,1176,2401,684,637
50,1225,2500,616,568
51,1275,2601,731,682
52,1326,2704,704,654
53,1378,2809,675,624
54,1431,2916,866,814
55,1485,3025,714,661
56,1540,3136,713,659
57,1596,3249,828,773
58,1653,3364,888,832
59,1711,3481,914,857
60,1770,3600,931,873
61,1830,3721,890,831
62,1891,3844,915,855
63,1953,3969,1109,1048
64,2016,4096,1180,1118
65,2080,4225,908,845
66,2145,4356,1144,1080
67,2211,4489,1001,936
68,2278,4624,1243,1177
69,2346,4761,1314,1247
70,2415,4900,1146,1078
71,2485,5041,1308,1239
72,2556,5184,1376,1306
73,2628,5329,1372,1301
74,2701,5476,1474,1402
75,2775,5625,1458,1385
76,2850,5776,1371,1297
77,2926,5929,1697,1622
78,3003,6084,1350,1274
79,3081,6241,1472,1395
80,3160,6400,1523,1445
81,3240,6561,1582,1503
82,3321,6724,1656,1576
83,3403,6889,1730,1649
84,3486,7056,1959,1877
85,3570,7225,1881,1798
86,3655,7396,1809,1725
87,3741,7569,1764,1679
88,3828,7744,1840,1754
89,3916,7921,1783,1696
90,4005,8100,2191,2103
91,4095,8281,1815,1726
92,4186,8464,2038,1948
93,4278,8649,2124,2033
94,4371,8836,2381,2289
95,4465,9025,2351,2258
96,4560,9216,2426,2332
97,4656,9409,2334,2239
98,4753,9604,2510,2414
99,4851,9801,2221,2124
100,4950,10000,2671,2573
101,5050,10201,2818,2719
102,5151,10404,2555,2455
103,5253,10609,2731,2630
104,5356,10816,2635,2533
105,5460,11025,2920,2817
106,5565,11236,3117,3013
107,5671,11449,2859,2754
108,5778,11664,2980,2874
109,5886,11881,3296,3189
110,5995,12100,2894,2786
111,6105,12321,2971,2862
112,6216,12544,3088,2978
113,6328,12769,3388,3277
114,6441,12996,3473,3361
115,6555,13225,3295,3182
116,6670,13456,3165,3051
117,6786,13689,3506,3391
118,6903,13924,3404,3288
119,7021,14161,3849,3732
120,7140,14400,3433,3315
121,7260,14641,3749,3630
122,7381,14884,3459,3339
123,7503,15129,3636,3515
124,7626,15376,3733,3611
125,7750,15625,3961,3838
126,7875,15876,4063,3939
127,8001,16129,3740,3615
128,8128,16384,4164,4038
129,8256,16641,4301,4174
130,8385,16900,4272,4144
131,8515,17161,4347,4218
132,8646,17424,4608,4478
133,8778,17689,4207,4076
134,8911,17956,4712,4580
135,9045,18225,4533,4400
136,9180,18496,4393,4259
137,9316,18769,4812,4677
138,9453,19044,4504,4368
139,9591,19321,4576,4439
140,9730,19600,4521,4383
141,9870,19881,5078,4939
142,10011,20164,4917,4777
143,10153,20449,5732,5591
144,10296,20736,5017,4875
145,10440,21025,5505,5362
146,10585,21316,4771,4627
147,10731,21609,5495,5350
148,10878,21904,5406,5260
149,11026,22201,5903,5756
150,11175,22500,6091,5943
151,11325,22801,4983,4834
152,11476,23104,5312,5162
153,11628,23409,6364,6213
154,11781,23716,5993,5841
155,11935,24025,6048,5895
156,12090,24336,6368,6214
157,12246,24649,6300,6145
158,12403,24964,6383,6227
159,12561,25281,6542,6385
160,12720,25600,6140,5982
161,12880,25921,6625,6466
162,13041,26244,6589,6429
163,13203,26569,6559,6398
164,13366,26896,7250,7088
165,13530,27225,7195,7032
166,13695,27556,7001,6837
167,13861,27889,7544,7379
168,14028,28224,7206,7040
169,14196,28561,7215,7048
170,14365,28900,6924,6756
171,14535,29241,8040,7871
172,14706,29584,7241,7071
173,14878,29929,7524,7353
174,15051,30276,7539,7367
175,15225,30625,7616,7443
176,15400,30976,7445,7271
177,15576,31329,8020,7845
178,15753,31684,8080,7904
179,15931,32041,7887,7710
180,16110,32400,8686,8508
181,16290,32761,8465,8286
182,16471,33124,9040,8860
183,16653,33489,8717,8536
184,16836,33856,8319,8137
185,17020,34225,7906,7723
186,17205,34596,8452,8268
187,17391,34969,8591,8406
188,17578,35344,8420,8234
189,17766,35721,7990,7803
190,17955,36100,8671,8483
191,18145,36481,8497,8308
192,18336,36864,8984,8794
193,18528,37249,9190,8999
194,18721,37636,9599,9407
195,18915,38025,9459,9266
196,19110,38416,9875,9681
197,19306,38809,9475,9280
198,19503,39204,9303,9107
199,19701,39601,9591,9394
200,19900,40000,9514,9316
201,20100,40401,9566,9367
202,20301,40804,10492,10292
203,20503,41209,10389,10188
204,20706,41616,11410,11208
205,20910,42025,11000,10797
206,21115,42436,10742,10538
207,21321,42849,10463,10258
208,21528,43264,11108,10902
209,21736,43681,10227,10020
210,21945,44100,11768,11560
211,22155,44521,11826,11617
212,22366,44944,11175,10965
213,22578,45369,12110,11899
214,22791,45796,10538,10326
215,23005,46225,12513,12300
216,23220,46656,11393,11179
217,23436,47089,12006,11791
218,23653,47524,11124,10908
219,23871,47961,11645,11428
220,24090,48400,12735,12517
221,24310,48841,11867,11648
222,24531,49284,11443,11223
223,24753,49729,12369,12148
224,24976,50176,12004,11782
225,25200,50625,12312,12089
226,25425,51076,12634,12410
227,25651,51529,13413,13188
228,25878,51984,13044,12818
229,26106,52441,13697,13470
230,26335,52900,12645,12417
231,26565,53361,13817,13588
232,26796,53824,13210,12980
233,27028,54289,13470,13239
234,27261,54756,14300,14068
235,27495,55225,13658,13425
236,27730,55696,13347,13113
237,27966,56169,14465,14230
238,28203,56644,13608,13372
239,28441,57121,14322,14085
240,28680,57600,14939,14701
241,28920,58081,14901,14662
242,29161,58564,14529,14289
243,29403,59049,15404,15163
244,29646,59536,14417,14175
245,29890,60025,13644,13401
246,30135,60516,14788,14544
247,30381,61009,15276,15031
248,30628,61504,15735,15489
249,30876,62001,16049,15802
250,31125,62500,15289,15041
251,31375,63001,16199,15950
252,31626,63504,16564,16314
253,31878,64009,15917,15666
254,32131,64516,16289,16037
255,32385,65025,16199,15946
256,32640,65536,16476,16222
257,32896,66049,16630,16375
258,33153,66564,16710,16454
259,33411,67081,16862,16605
260,33670,67600,17460,17202
261,33930,68121,14648,14389
262,34191,68644,16848,16588
263,34453,69169,17550,17289
264,34716,69696,17405,17143
265,34980,70225,18369,18106
266,35245,70756,17535,17271
267,35511,71289,18240,17975
268,35778,71824,17561,17295
269,36046,72361,17688,17421
270,36315,72900,16902,16634
271,36585,73441,17445,17176
272,36856,73984,19378,19108
273,37128,74529,17995,17724
274,37401,75076,18896,18624
275,37675,75625,19715,19442
276,37950,76176,19737,19463
277,38226,76729,19118,18843
278,38503,77284,19306,19030
279,38781,77841,19602,19325
280,39060,78400,19789,19511
281,39340,78961,20209,19930
282,39621,79524,19819,19539
283,39903,80089,19754,19473
284,40186,80656,20761,20479
285,40470,81225,20259,19976
286,40755,81796,20562,20278
287,41041,82369,19353,19068
288,41328,82944,21339,21053
289,41616,83521,21825,21538
290,41905,84100,20822,20534
291,42195,84681,21566,21277
292,42486,85264,21920,21630
293,42778,85849,21294,21003
294,43071,86436,21123,20831
295,43365,87025,23486,23193
296,43660,87616,23293,22999
297,43956,88209,21230,20935
298,44253,88804,21936,21640
299,44551,89401,23266,22969
300,44850,90000,22404,22106
301,45150,90601,24637,24338
302,45451,91204,22417,22117
303,45753,91809,22769,22468
304,46056,92416,21387,21085
305,46360,93025,22124,21821
306,46665,93636,23553,23249
307,46971,94249,23488,23183
308,47278,94864,25789,25483
309,47586,95481,23123,22816
310,47895,96100,22977,22669
311,48205,96721,23675,23366
312,48516,97344,26236,25926
313,48828,97969,25153,24842
314,49141,98596,24975,24663
315,49455,99225,25466,25153
316,49770,99856,25591,25277
317,50086,100489,24203,23888
318,50403,101124,25517,25201
319,50721,101761,26429,26112
320,51040,102400,25033,24715
321,51360,103041,25515,25196
322,51681,103684,26583,26263
323,52003,104329,27300,26979
324,52326,104976,26081,25759
325,52650,105625,26313,25990
326,52975,106276,27747,27423
327,53301,106929,26682,26357
328,53628,107584,25647,25321
329,53956,108241,26611,26284
330,54285,108900,27585,27257
331,54615,109561,27264,26935
332,54946,110224,28773,28443
333,55278,110889,27025,26695
334,55611,111556,26077,25745
335,55945,112225,27719,27386
336,56280,112896,28273,27939
337,56616,113569,27188,26853
338,56953,114244,28131,27795
339,57291,114921,30501,30164
340,57630,115600,30223,29885
341,57970,116281,28750,28411
342,58311,116964,29540,29200
343,58653,117649,30695,30354
344,58996,118336,29885,29543
345,59340,119025,29996,29653
346,59685,119716,29748,29404
347,60031,120409,30667,30322
348,60378,121104,30854,30508
349,60726,121801,31980,31633
350,61075,122500,29969,29621
351,61425,123201,32313,31964
352,61776,123904,31004,30654
353,62128,124609,31093,30742
354,62481,125316,31224,30872
355,62835,126025,30932,30579
356,63190,126736,31728,31374
357,63546,127449,32807,32452
358,63903,128164,32617,32261
359,64261,128881,31629,31272
360,64620,129600,30661,30303
361,64980,130321,33638,33279
362,65341,131044,34677,34317
363,65703,131769,33418,33057
364,66066,132496,33247,32885
365,66430,133225,33116,32753
366,66795,133956,36181,35817
367,67161,134689,31781,31416
368,67528,135424,32741,32375
369,67896,136161,34828,34461
370,68265,136900,33061,32693
371,68635,137641,33971,33602
372,69006,138384,34965,34595
373,69378,139129,34211,33840
374,69751,139876,35185,34813
375,70125,140625,36240,35867
376,70500,141376,33586,33212
377,70876,142129,35656,35281
378,71253,142884,36569,36193
379,71631,143641,37152,36775
380,72010,144400,35132,34754
381,72390,145161,37702,37323
382,72771,145924,33937,33557
383,73153,146689,37992,37611
384,73536,147456,36676,36294
385,73920,148225,36488,36105
386,74305,148996,38599,38215
387,74691,149769,39790,39405
388,75078,150544,38085,37699
389,75466,151321,38232,37845
390,75855,152100,38077,37689
391,76245,152881,38369,37980
392,76636,153664,38770,38380
393,77028,154449,39083,38692
394,77421,155236,36908,36516
395,77815,156025,38262,37869
396,78210,156816,40367,39973
397,78606,157609,40232,39837
398,79003,158404,38595,38199
399,79401,159201,40769,40372
400,79800,160000,37673,37275
401,80200,160801,40242,39843
402,80601,161604,39249,38849
403,81003,162409,41771,41370
404,81406,163216,42153,41751
405,81810,164025,40455,40052
406,82215,164836,40693,40289
407,82621,165649,42906,42501
408,83028,166464,42396,41990
409,83436,167281,42673,42266
410,83845,168100,43262,42854
411,84255,168921,45286,44877
412,84666,169744,43525,43115
413,85078,170569,43852,43441
414,85491,171396,43963,43551
415,85905,172225,42466,42053
416,86320,173056,43099,42685
417,86736,173889,43718,43303
418,87153,174724,46063,45647
419,87571,175561,46388,45971
420,87990,176400,44141,43723
421,88410,177241,43727,43308
422,88831,178084,43925,43505
423,89253,178929,46154,45733
424,89676,179776,45116,44694
425,90100,180625,43745,43322
426,90525,181476,46201,45777
427,90951,182329,44168,43743
428,91378,183184,47277,46851
429,91806,184041,43780,43353
430,92235,184900,45319,44891
431,92665,185761,46735,46306
432,93096,186624,46342,45912
433,93528,187489,50014,49583
434,93961,188356,46728,46296
435,94395,189225,47729,47296
436,94830,190096,46707,46273
437,95266,190969,50521,50086
438,95703,191844,45749,45313
439,96141,192721,52728,52291
440,96580,193600,49676,49238
441,97020,194481,47951,47512
442,97461,195364,47298,46858
443,97903,196249,48463,48022
444,98346,197136,48846,48404
445,98790,198025,47718,47275
446,99235,198916,47703,47259
447,99681,199809,51458,51013
448,100128,200704,51579,51133
449,100576,201601,47947,47500
450,101025,202500,49179,48731
451,101475,203401,52858,52409
452,101926,204304,49660,49210
453,102378,205209,48158,47707
454,102831,206116,51644,51192
455,103285,207025,53880,53427
456,103740,207936,52601,52147
457,104196,208849,52787,52332
458,104653,209764,52942,52486
459,105111,210681,55439,54982
460,105570,211600,52282,51824
461,106030,212521,52508,52049
462,106491,213444,50835,50375
463,106953,214369,51018,50557
464,107416,215296,52925,52463
465,107880,216225,55221,54758
466,108345,217156,53767,53303
467,108811,218089,53306,52841
468,109278,219024,55295,54829
469,109746,219961,55119,54652
470,110215,220900,57200,56732
471,110685,221841,56637,56168
472,111156,222784,56144,55674
473,111628,223729,55407,54936
474,112101,224676,56161,55689
475,112575,225625,58288,57815
476,113050,226576,58014,57540
477,113526,227529,53934,53459
478,114003,228484,55794,55318
479,114481,229441,57862,57385
480,114960,230400,55246,54768
481,115440,231361,59315,58836
482,115921,232324,61241,60761
483,116403,233289,58200,57719
484,116886,234256,58684,58202
485,117370,235225,58329,57846
486,117855,236196,59428,58944
487,118341,237169,59688,59203
488,118828,238144,60984,60498
489,119316,239121,61431,60944
490,119805,240100,57858,57370
491,120295,241081,61648,61159
492,120786,242064,61773,61283
493,121278,243049,60949,60458
494,121771,244036,59082,58590
495,122265,245025,60313,59820
496,122760,246016,59153,58659
497,123256,247009,61675,61180
498,123753,248004,60512,60016
499,124251,249001,63306,62809
500,124750,250000,60356,59858
501,125250,251001,65144,64645
502,125751,252004,64005,63505
503,126253,253009,63496,62995
504,126756,254016,60570,60068
505,127260,255025,63912,63409
506,127765,256036,63884,63380
507,128271,257049,65710,65205
